id,name,url,rating,types
ChIJByd2KZwi2jERmNu1msyWr6w,GoCycling @ East Coast Park C4,https://maps.google.com/?cid=12443330100961074072&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.1,"point_of_interest, establishment"
ChIJczapiXAY2jERyMUTyS6JI8w,Parkland Green,https://maps.google.com/?cid=14709751641957189064&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"park, tourist_attraction, point_of_interest, establishment"
ChIJpwkngngZ2jERWh7XDFzVAhI,Jypsy Parkland Green,https://maps.google.com/?cid=1297834233965256282&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"japanese_restaurant, restaurant, point_of_interest, food, establishment"
ChIJO_QTQHYY2jER5EHRqqo5cfA,The Coffee Bean & Tea Leaf,https://maps.google.com/?cid=17325692646644072932&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"cafe, point_of_interest, food, establishment"
ChIJ4ShJI3YY2jERzwtLMJ7hQMg,Marine Cove Playground,https://maps.google.com/?cid=14429781275626376143&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"playground, tourist_attraction, point_of_interest, establishment"
ChIJZ2M_wnAY2jERYin8sHprSEo,Starbucks Parkland Green,https://maps.google.com/?cid=5352646331829332322&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"cafe, coffee_shop, food_store, store, point_of_interest, food, establishment"
ChIJVwlS_k0Z2jER7Di5t1WgS2s,East Coast Commune,https://maps.google.com/?cid=7731449475326621932&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"cafe, event_venue, restaurant, point_of_interest, food, establishment"
ChIJ7-fvFXEY2jERF81XESohPJ0,FairPrice Finest Marine Parade Central,https://maps.google.com/?cid=11329967227120635159&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"grocery_store, food_store, store, point_of_interest, food, establishment"
ChIJGVCKbHEY2jERe4sLs53yWvg,Roland Restaurant | The Best Chilli Crab & Popular Chinese Seafood Restaurant (Katong-East Coast),https://maps.google.com/?cid=17895882828437752699&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"seafood_restaurant, restaurant, point_of_interest, food, establishment"
ChIJ11egVBgZ2jERxsNsAV4oq54,East Coast Park Area C,https://maps.google.com/?cid=11433276463226078150&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.7,"park, point_of_interest, establishment"
ChIJQSh5L70Z2jER6kpGuWbFyCk,Brewerkz East Coast Park,https://maps.google.com/?cid=3010873395882904298&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.7,"restaurant, asian_restaurant, liquor_store, bar, american_restaurant, event_venue, store, point_of_interest, food, establishment"
ChIJnxU0wwkZ2jERYn6FCbMY0xU,Pet Master Mega Store by CatSmart,https://maps.google.com/?cid=1572627852120391266&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.8,"pet_store, dog_cafe, store, point_of_interest, establishment"
ChIJjW8MfnoY2jERCfgxGJBHjgY,Amber Beacon Tower,https://maps.google.com/?cid=472393695127271433&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"observation_deck, point_of_interest, establishment"
ChIJ39KLQnEY2jERUCNPFzGeH2g,Touch Centre,https://maps.google.com/?cid=7502889437904184144&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.8,"church, place_of_worship, point_of_interest, establishment"
ChIJa1R3WgAZ2jERsm-y7KowAzo,East Coast Park Car Park C2,https://maps.google.com/?cid=4180238389803642802&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.9,"parking, point_of_interest, establishment"
ChIJa9KPzaoZ2jERVgrvBFr_wBQ,East Coast Park BBQ Pit C12,https://maps.google.com/?cid=1495475838381918806&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"barbecue_area, point_of_interest, establishment"
ChIJI4QYQEsZ2jERq8jceszoUh8,ARFC East Coast Park,https://maps.google.com/?cid=2257122328198301867&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"restaurant, point_of_interest, food, establishment"
ChIJvWDbfRwa2jERgNnTOpAU3-o,Singapore Botanic Gardens,https://maps.google.com/?cid=16924268534376421760&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.7,"botanical_garden, tourist_attraction, park, point_of_interest, establishment"
ChIJ7e11tPob2jERasVPYICVQAc,Buona Vista MRT Station (CC22),https://maps.google.com/?cid=522581935379170666&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"point_of_interest, establishment"
ChIJWXTRJCAa2jERXNBB0kxTWSU,Gleneagles Hospital,https://maps.google.com/?cid=2691273841740730460&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.5,"hospital, health, point_of_interest, establishment"
ChIJK52N1cUR2jERUTiO_ETnynU,One Holland Village,https://maps.google.com/?cid=8487850731214092369&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"shopping_mall, point_of_interest, establishment"
ChIJ1yBe2Hsb2jER8wHVEW0wXW0,Holland Village MRT Station (CC21),https://maps.google.com/?cid=7880508167976976883&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"point_of_interest, establishment"
ChIJlVLQgy4b2jER0sESh7WlGhs,Botanic Gardens MRT Station (CC19),https://maps.google.com/?cid=1953055587492348370&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"point_of_interest, establishment"
